program_code,year,placed_count,placed_pref_rank_avg,placed_top_1_pref_count,placed_top_3_pref_count,placed_top_10_pref_count
201290334,2023,68,3.2,30,51,63
300850089,2023,4,1.0,4,4,4
300150493,2023,10,1.8,3,10,10
109950257,2023,74,3.5,30,52,69
202453567,2023,13,3.1,5,12,12
208910010,2023,53,5.0,6,22,47
300850105,2023,25,8.6,4,9,18
300250492,2023,10,2.5,5,7,10
208910011,2023,10,3.3,3,6,10
202454556,2023,44,3.1,14,31,43
107390118,2023,64,4.5,17,37,58
300250474,2023,10,9.9,1,1,6
204150755,2023,8,4.0,3,4,8
108190131,2023,59,5.0,18,34,53
202752769,2022,50,3.5,13,31,48
103290212,2022,67,6.8,13,27,49
103650012,2022,72,5.9,19,36,58
101090558,2022,62,2.7,37,48,60
112070694,2022,52,4.4,17,32,46
205850515,2022,34,6.4,6,11,27
108950224,2022,103,4.5,37,56,93
100770987,2022,67,3.5,18,47,64
206410608,2022,45,6.4,3,19,36
207450549,2022,51,5.4,11,26,41
206410606,2022,8,7.8,1,3,5
107050218,2022,62,6.2,19,34,47
208550015,2022,9,5.7,2,4,7
208550033,2022,40,7.3,6,16,31
106870265,2022,67,6.9,15,29,52
106951697,2022,72,3.9,38,49,65
208590074,2022,13,7.4,1,5,10
102790217,2022,52,7.8,3,14,40
201290334,2022,59,4.6,11,28,53
112370767,2022,41,5.1,7,20,37
201650017,2022,45,7.1,7,16,35
201650044,2022,10,6.7,0,4,8
201650026,2022,10,1.9,7,9,10
106450598,2022,72,7.7,11,21,49
104790050,2022,67,9.4,6,19,37
201450037,2022,67,2.6,37,56,64
109272246,2022,88,5.9,15,38,74
201050456,2022,64,4.2,13,38,59
105951028,2022,67,7.2,19,28,49
106150583,2022,103,7.0,20,37,77
205550439,2022,22,4.3,3,8,22
201450082,2022,13,4.3,4,7,11
207450876,2022,5,1.8,2,5,5
112910010,2022,72,5.0,11,33,65
207450522,2022,9,5.4,1,2,9
201290288,2022,8,8.4,0,4,6
201450028,2022,12,6.2,1,4,10
201250709,2022,11,4.9,3,6,9
107250525,2022,72,3.2,47,55,67
201450091,2022,47,4.3,12,30,41
202353108,2022,10,4.6,1,4,9
202751647,2022,78,3.4,23,50,74
202453576,2022,9,4.7,0,5,8
109950257,2022,72,5.9,19,33,60
202456313,2022,8,1.5,7,7,8
200790565,2022,64,6.0,18,32,51
200751556,2022,6,2.8,2,3,6
202353117,2022,55,5.0,11,32,48
103990106,2022,62,3.5,34,45,58
200790509,2022,37,6.4,6,17,28
202550696,2022,9,4.3,6,6,8
202453567,2022,13,3.3,4,8,13
202454556,2022,36,6.4,5,18,28
105290034,2022,82,8.3,14,27,58
101290073,2022,41,12.1,2,7,19
202550703,2022,53,5.0,16,28,44
201790263,2022,7,4.4,2,4,6
101690103,2022,62,6.4,13,25,45
202752751,2022,9,5.8,2,5,7
202751595,2022,13,5.8,3,4,12
208750166,2022,65,6.7,9,21,51
101850264,2022,88,8.4,13,27,59
203050829,2022,12,3.8,4,10,11
203150316,2022,12,3.8,5,8,11
100890075,2022,41,5.7,13,17,34
204590390,2022,67,5.0,20,47,55
204551194,2022,12,4.2,4,8,11
204590391,2022,1,2.0,0,1,1
204751871,2022,45,4.3,12,31,40
102790186,2022,62,8.3,6,15,46
109850725,2022,67,7.3,17,26,48
208150161,2022,6,4.2,3,5,5
100751363,2022,77,3.2,44,58,72
200390120,2022,42,4.9,7,27,36
110670119,2022,62,5.4,12,29,53
206850706,2022,9,6.3,4,7,7
104370801,2022,82,9.3,9,21,50
205052961,2022,9,4.2,2,7,7
205052476,2022,11,7.7,2,3,7
301390061,2022,18,7.4,5,9,13
105370313,2022,82,5.6,21,41,69
208450316,2022,9,3.9,2,5,9
208450307,2022,51,5.0,12,27,43
300550568,2022,20,5.2,8,11,17
106470496,2022,62,9.7,10,23,33
203550375,2022,30,6.3,3,13,25
206050847,2022,12,6.8,1,4,10
206050856,2022,7,1.6,6,6,7
204050032,2022,33,3.9,11,19,31
300590394,2022,19,6.3,5,10,15
206050874,2022,30,5.8,3,10,27
108750544,2022,88,7.3,21,37,66
